Sec,Ah,V,A,S,D,Deg,RPM,HW,Nm,ThI,ThO,Acc,Lim
27.55,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
27.76,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
27.97,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
28.17,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
28.38,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
28.59,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
28.81,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
29.02,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
29.22,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
29.43,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
29.64,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
29.84,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
30.05,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
30.25,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
30.46,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
30.67,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
30.88,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
31.09,0.0000,52.43,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
31.29,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
31.5,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
31.7,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
31.9,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
32.12,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
32.33,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
32.53,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
32.74,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
32.94,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
33.15,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
33.36,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
33.57,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
33.77,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
33.97,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
34.18,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
34.39,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
34.61,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
34.81,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
35.01,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
35.22,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
35.43,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
35.64,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
35.84,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
36.05,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
36.26,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
36.47,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
36.68,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
36.89,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
37.09,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
37.3,0.0000,52.42,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
